Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
joker,0,0,6,8,16,12,58,42,100,6.08
metro,0,0,18,37,33,11,1,99,100,4.4
logic,0,1,10,27,46,15,1,99,100,4.670000000000001
circa,0,0,12,19,45,20,4,96,100,4.8500000000000005
cedar,0,2,22,35,28,11,2,98,100,4.3
plaza,0,0,6,29,36,26,3,97,100,4.909999999999999
range,0,1,12,31,31,18,7,93,100,4.74
sulky,0,2,14,33,40,9,2,98,100,4.46
horde,0,0,16,27,24,24,9,91,100,4.829999999999999
guppy,0,0,5,20,25,27,23,77,100,5.430000000000001
below,0,0,13,38,41,7,1,99,100,4.45
anger,0,0,6,27,39,20,8,92,100,4.970000000000001
ghoul,0,0,12,46,34,8,0,100,100,4.380000000000001
aglow,0,1,8,29,30,27,5,95,100,4.89
cocoa,0,0,7,28,34,18,13,87,100,5.0200000000000005
ethic,0,2,19,43,35,1,0,100,100,4.14
broom,0,0,10,26,30,22,12,88,100,5.0
snack,0,1,19,25,32,14,9,91,100,4.66
acrid,0,2,16,37,33,11,1,99,100,4.38
scarf,0,2,6,22,28,23,19,81,100,5.21
canoe,0,0,15,38,23,15,9,91,100,4.65
latte,0,1,9,20,35,27,8,92,100,5.02
plank,0,1,5,21,40,27,6,94,100,5.05
shorn,0,1,15,23,42,12,7,93,100,4.7
grief,0,0,10,35,35,13,7,93,100,4.720000000000001
flask,0,0,14,34,35,15,2,98,100,4.57
brash,0,2,12,39,30,14,3,97,100,4.51
igloo,0,1,13,52,31,3,0,100,100,4.22
clerk,0,0,13,39,36,9,3,97,100,4.5
utter,0,0,12,26,31,25,6,94,100,4.87
bagel,0,0,13,30,33,18,6,94,100,4.74
swine,0,1,8,23,32,24,12,88,100,5.0600000000000005
ramen,0,2,6,37,34,18,3,97,100,4.69
skimp,0,1,12,45,28,8,6,94,100,4.48
mouse,0,1,14,17,32,13,23,77,100,5.11
kneel,0,0,13,36,40,8,3,97,100,4.5200000000000005
agile,0,0,4,37,27,22,10,90,100,4.970000000000001
jazzy,0,0,2,11,21,25,41,59,100,5.92
humid,0,3,16,46,23,9,3,97,100,4.28
nanny,0,1,1,10,25,24,39,61,100,5.869999999999999
beast,0,1,15,22,35,14,13,87,100,4.85
ennui,0,0,19,35,36,10,0,100,100,4.369999999999999
scout,0,0,12,26,30,20,12,88,100,4.9399999999999995
hater,0,0,9,13,10,17,51,49,100,5.88
crumb,0,0,12,41,31,13,3,97,100,4.54
balsa,0,1,16,30,31,18,4,96,100,4.61
again,0,1,15,30,38,14,2,98,100,4.55
guard,0,5,13,36,31,13,2,98,100,4.3999999999999995
wrong,0,0,18,28,34,17,3,97,100,4.590000000000001
plunk,0,2,9,23,38,24,4,96,100,4.8500000000000005
crime,0,0,10,19,34,28,9,91,100,5.069999999999999
maybe,0,0,7,32,35,18,8,92,100,4.880000000000001
strap,0,4,14,30,18,12,22,78,100,4.86
ranch,0,1,10,30,37,17,5,95,100,4.74
shyly,0,0,9,45,37,7,2,98,100,4.48
kazoo,0,1,6,23,34,26,10,90,100,5.080000000000001
frost,0,1,8,40,29,17,5,95,100,4.68
crane,0,0,10,24,29,22,15,85,100,5.08
taste,0,0,6,22,31,17,24,76,100,5.3100000000000005
covet,0,1,6,20,39,28,6,94,100,5.05
grand,0,4,6,26,41,14,9,91,100,4.819999999999999
rodeo,0,2,9,34,34,14,7,93,100,4.7
guest,0,1,10,32,40,15,2,98,100,4.64
about,0,0,7,43,37,12,1,99,100,4.57
tract,0,0,7,24,27,28,14,86,100,5.18
diner,0,2,8,17,30,21,22,78,100,5.26
straw,0,0,10,19,20,16,35,65,100,5.470000000000001
bleep,0,0,8,37,35,20,0,100,100,4.67
mossy,0,0,12,32,37,8,11,89,100,4.74
hotel,0,1,14,29,40,11,5,95,100,4.609999999999999
irate,0,0,7,35,22,9,27,73,100,5.14
venom,0,0,13,31,41,11,4,96,100,4.62
windy,0,1,9,25,37,23,5,95,100,4.869999999999999
donut,0,4,17,45,29,5,0,100,100,4.14
cower,0,0,1,12,15,12,60,40,100,6.18
enter,0,1,10,36,31,17,5,95,100,4.68
folly,0,1,4,11,20,18,46,54,100,5.880000000000001
earth,0,2,11,44,31,9,3,97,100,4.43
whirl,0,3,11,42,36,5,3,97,100,4.38
barge,0,1,4,17,34,22,22,78,100,5.38
fiend,0,1,10,38,41,9,1,99,100,4.5
crone,0,0,5,22,23,16,34,66,100,5.52
topaz,0,2,18,34,30,11,5,95,100,4.45
droop,0,3,12,27,35,12,11,89,100,4.74
flyer,0,1,12,19,41,22,5,95,100,4.859999999999999
tonic,0,0,7,22,40,18,13,87,100,5.08
