Answer,1,2,3,4,5,6,7,Wins,Game Count,Average Guesses
windy,0,3,24,43,23,6,1,99,1450290,4.08
donut,0,6,51,34,8,0,1,99,1451061,3.4799999999999995
cower,0,1,8,20,26,25,20,80,1325400,5.26
enter,0,3,20,35,28,12,2,98,1488329,4.319999999999999
folly,0,1,10,28,28,20,13,87,1638472,4.95
earth,1,11,33,36,15,3,1,99,1497469,3.66
whirl,0,2,27,45,21,4,1,99,1609262,4.010000000000001
barge,0,4,23,37,25,9,2,98,1685377,4.18
fiend,0,4,31,43,17,4,1,99,1326164,3.89
crone,0,5,20,35,24,12,4,96,1146577,4.3
topaz,0,2,23,41,25,7,2,98,1478139,4.18
droop,0,2,26,42,23,6,1,99,1402534,4.08
flyer,0,1,12,33,34,16,4,96,1366538,4.640000000000001
tonic,0,5,32,39,19,4,1,99,1567076,3.8800000000000003
flank,0,2,14,37,34,11,2,98,1429059,4.4399999999999995
burly,0,1,14,42,30,10,3,97,1592766,4.43
froze,0,2,8,18,31,31,10,90,1627002,5.11
whale,0,8,37,38,14,2,1,99,1617199,3.68
hobby,0,1,11,32,33,18,5,95,1596089,4.71
wheel,0,2,23,48,22,4,1,99,1394572,4.0600000000000005
heart,1,16,40,30,10,2,1,99,1452494,3.42
disco,0,3,25,44,21,6,1,99,1288341,4.05
ethos,0,7,30,37,20,5,1,99,1280696,3.8899999999999997
curly,0,2,21,43,24,8,2,98,1772070,4.21
bathe,0,6,29,40,19,5,1,99,1265365,3.9099999999999997
style,0,7,34,37,17,4,1,99,1417100,3.8000000000000003
tenth,0,3,23,42,25,6,1,99,1209480,4.11
beget,0,1,9,35,38,14,3,97,1413562,4.64
party,0,14,41,33,10,1,1,99,1439892,3.46
chart,0,17,41,30,10,1,1,99,1447386,3.4
anode,0,3,28,39,22,7,1,99,1268047,4.05
polyp,0,1,9,41,36,10,3,97,1217893,4.54
brook,0,1,9,29,38,20,3,97,1446017,4.76
bully,0,1,14,38,30,14,3,97,1495358,4.51
lover,0,4,17,28,27,17,7,93,1444158,4.57
empty,0,3,23,47,23,3,1,99,1315244,4.03
hello,0,3,22,40,25,8,2,98,1354123,4.19
quick,0,3,24,46,22,4,1,99,1127882,4.03
wrath,0,12,34,35,15,3,1,99,1341776,3.66
snaky,0,1,15,45,29,9,1,99,1400732,4.33
index,0,2,19,37,29,10,3,97,1342021,4.35
scrub,0,2,21,41,27,8,1,99,1396717,4.210000000000001
amiss,0,6,24,37,23,8,2,98,1312744,4.09
exact,0,4,25,41,23,6,1,99,1389089,4.05
magma,0,1,3,21,43,25,7,93,1197961,5.09
